testCaseId,No,pass
Alarm pwd verification_2,2,Ab^2
Alarm pwd verification_2,3,Ab{2
Alarm pwd verification_2,4,Ab}2
Alarm pwd verification_2,5,Ab[2
Alarm pwd verification_2,6,Ab]2
Alarm pwd verification_2,7,Ab\2
Alarm pwd verification_2,8,Ab#2
Alarm pwd verification_2,9,Ab2$
Alarm pwd verification_2,10,Ab%2
Alarm pwd verification_2,11,Ab&2
Alarm pwd verification_2,12,Ab(2
Alarm pwd verification_2,13,Ab)2
Alarm pwd verification_2,14,Ab+2
Alarm pwd verification_2,15,Ab;2
Alarm pwd verification_2,16,Ab.2
Alarm pwd verification_2,17,Ab<2
Alarm pwd verification_2,18,Ab>2
Alarm pwd verification_2,20,Ab!2
Alarm pwd verification_2,21,Ab?2
Alarm pwd verification_2,2,2^zB
Alarm pwd verification_2,3,2{zB
Alarm pwd verification_2,4,2}zB
Alarm pwd verification_2,5,2[zB
Alarm pwd verification_2,6,2]zB
Alarm pwd verification_2,7,2\zB
Alarm pwd verification_2,8,2#zB
Alarm pwd verification_2,9,$2zB
Alarm pwd verification_2,10,2%zB
Alarm pwd verification_2,11,2&zB
Alarm pwd verification_2,12,2(zB
Alarm pwd verification_2,13,2)zB
Alarm pwd verification_2,14,2+zB
Alarm pwd verification_2,15,2;zB
Alarm pwd verification_2,16,2.zB
Alarm pwd verification_2,17,2<zB
Alarm pwd verification_2,18,2>zB
Alarm pwd verification_2,20,2!zB
Alarm pwd verification_2,21,2?zB
